




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (844)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
signaling (GO:0023052)	5565	282	228.06	+	1.24	6.63E-05	1.09E-02
cell communication (GO:0007154)	5656	282	231.79	+	1.22	2.21E-04	2.66E-02
organonitrogen compound metabolic process (GO:1901564)	5246	164	214.99	-	.76	6.08E-05	1.02E-02
metabolic process (GO:0008152)	8313	247	340.67	-	.73	5.74E-11	3.78E-08
organic substance metabolic process (GO:0071704)	7840	230	321.29	-	.72	9.45E-11	5.97E-08
protein metabolic process (GO:0019538)	4203	123	172.24	-	.71	2.11E-05	4.33E-03
nitrogen compound metabolic process (GO:0006807)	6886	190	282.19	-	.67	1.12E-11	8.44E-09
primary metabolic process (GO:0044238)	7352	202	301.29	-	.67	5.95E-13	7.83E-10
cellular metabolic process (GO:0044237)	7542	205	309.08	-	.66	6.55E-14	1.15E-10
cellular protein modification process (GO:0006464)	2985	79	122.33	-	.65	1.50E-05	3.43E-03
protein modification process (GO:0036211)	2985	79	122.33	-	.65	1.50E-05	3.38E-03
protein localization (GO:0008104)	2063	54	84.54	-	.64	3.20E-04	3.33E-02
macromolecule metabolic process (GO:0043170)	6151	161	252.07	-	.64	3.15E-12	3.11E-09
biosynthetic process (GO:0009058)	2865	74	117.41	-	.63	8.40E-06	2.04E-03
macromolecule modification (GO:0043412)	3211	82	131.59	-	.62	1.30E-06	3.66E-04
catabolic process (GO:0009056)	2096	52	85.90	-	.61	6.61E-05	1.10E-02
cellular protein metabolic process (GO:0044267)	3590	89	147.12	-	.60	4.50E-08	1.82E-05
cellular biosynthetic process (GO:0044249)	2715	67	111.26	-	.60	3.04E-06	8.15E-04
organelle organization (GO:0006996)	3567	88	146.18	-	.60	4.11E-08	1.71E-05
cellular component assembly (GO:0022607)	2494	61	102.21	-	.60	6.35E-06	1.59E-03
protein-containing complex subunit organization (GO:0043933)	1605	39	65.77	-	.59	4.44E-04	4.33E-02
cellular macromolecule metabolic process (GO:0044260)	4909	118	201.17	-	.59	3.41E-12	3.17E-09
organic substance biosynthetic process (GO:1901576)	2803	65	114.87	-	.57	1.66E-07	5.95E-05
cellular catabolic process (GO:0044248)	1812	42	74.26	-	.57	4.53E-05	8.05E-03
protein-containing complex assembly (GO:0065003)	1358	31	55.65	-	.56	3.49E-04	3.49E-02
cellular component biogenesis (GO:0044085)	2754	62	112.86	-	.55	7.29E-08	2.74E-05
organonitrogen compound biosynthetic process (GO:1901566)	1379	31	56.51	-	.55	2.82E-04	3.07E-02
establishment of protein localization (GO:0045184)	1397	31	57.25	-	.54	1.77E-04	2.24E-02
intracellular transport (GO:0046907)	1464	32	60.00	-	.53	8.02E-05	1.27E-02
cellular response to stress (GO:0033554)	1741	38	71.35	-	.53	1.38E-05	3.25E-03
aromatic compound biosynthetic process (GO:0019438)	1060	22	43.44	-	.51	5.20E-04	4.84E-02
organic cyclic compound metabolic process (GO:1901360)	3182	65	130.40	-	.50	3.83E-11	2.63E-08
organic substance catabolic process (GO:1901575)	1769	36	72.50	-	.50	1.86E-06	5.14E-04
organonitrogen compound catabolic process (GO:1901565)	1091	22	44.71	-	.49	2.49E-04	2.88E-02
chromosome organization (GO:0051276)	1064	21	43.60	-	.48	2.10E-04	2.57E-02
regulation of catabolic process (GO:0009894)	1066	21	43.69	-	.48	2.11E-04	2.56E-02
protein transport (GO:0015031)	1300	25	53.28	-	.47	2.07E-05	4.37E-03
cellular aromatic compound metabolic process (GO:0006725)	2937	56	120.36	-	.47	1.11E-11	8.77E-09
regulation of cellular catabolic process (GO:0031329)	899	17	36.84	-	.46	4.67E-04	4.50E-02
cellular nitrogen compound metabolic process (GO:0034641)	3395	61	139.13	-	.44	5.74E-15	1.82E-11
intracellular protein transport (GO:0006886)	781	14	32.01	-	.44	5.45E-04	4.92E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	27	63.64	-	.42	2.59E-07	9.09E-05
heterocycle biosynthetic process (GO:0018130)	1049	18	42.99	-	.42	2.37E-05	4.80E-03
cellular amide metabolic process (GO:0043603)	820	14	33.60	-	.42	2.49E-04	2.89E-02
cell cycle process (GO:0022402)	957	16	39.22	-	.41	4.44E-05	7.98E-03
heterocycle metabolic process (GO:0046483)	2891	48	118.48	-	.41	3.32E-14	7.50E-11
nucleobase-containing compound biosynthetic process (GO:0034654)	975	16	39.96	-	.40	2.53E-05	5.06E-03
macromolecule biosynthetic process (GO:0009059)	1680	27	68.85	-	.39	8.40E-09	3.90E-06
nucleobase-containing compound metabolic process (GO:0006139)	2705	43	110.85	-	.39	3.26E-14	8.60E-11
cellular macromolecule biosynthetic process (GO:0034645)	1639	26	67.17	-	.39	8.65E-09	3.91E-06
DNA metabolic process (GO:0006259)	777	12	31.84	-	.38	1.13E-04	1.61E-02
nucleic acid metabolic process (GO:0090304)	2217	34	90.85	-	.37	3.71E-12	3.26E-09
mitotic cell cycle (GO:0000278)	750	11	30.74	-	.36	8.47E-05	1.30E-02
cell cycle (GO:0007049)	1316	19	53.93	-	.35	5.53E-08	2.13E-05
gene expression (GO:0010467)	2117	30	86.76	-	.35	8.22E-13	1.00E-09
RNA metabolic process (GO:0016070)	1582	22	64.83	-	.34	8.00E-10	4.36E-07
cellular response to DNA damage stimulus (GO:0006974)	793	11	32.50	-	.34	2.61E-05	5.16E-03
DNA repair (GO:0006281)	531	7	21.76	-	.32	4.49E-04	4.36E-02
cellular protein-containing complex assembly (GO:0034622)	867	10	35.53	-	.28	8.03E-07	2.54E-04
ncRNA metabolic process (GO:0034660)	521	6	21.35	-	.28	2.34E-04	2.74E-02
amide biosynthetic process (GO:0043604)	537	6	22.01	-	.27	1.21E-04	1.67E-02
RNA processing (GO:0006396)	930	10	38.11	-	.26	1.15E-07	4.24E-05
mitochondrion organization (GO:0007005)	468	5	19.18	-	.26	2.82E-04	3.05E-02
macromolecule catabolic process (GO:0009057)	1058	11	43.36	-	.25	9.72E-09	4.27E-06
mRNA processing (GO:0006397)	486	5	19.92	-	.25	1.47E-04	1.96E-02
peptide biosynthetic process (GO:0043043)	414	4	16.97	-	.24	4.91E-04	4.70E-02
heterocycle catabolic process (GO:0046700)	417	4	17.09	-	.23	3.38E-04	3.44E-02
ncRNA processing (GO:0034470)	436	4	17.87	-	.22	1.74E-04	2.21E-02
protein modification by small protein conjugation or removal (GO:0070647)	1035	9	42.42	-	.21	8.64E-10	4.55E-07
cellular macromolecule catabolic process (GO:0044265)	925	8	37.91	-	.21	7.79E-09	3.73E-06
mRNA metabolic process (GO:0016071)	697	6	28.56	-	.21	8.79E-07	2.72E-04
protein catabolic process (GO:0030163)	697	6	28.56	-	.21	8.79E-07	2.67E-04
protein modification by small protein conjugation (GO:0032446)	822	7	33.69	-	.21	4.89E-08	1.93E-05
cellular protein catabolic process (GO:0044257)	644	5	26.39	-	.19	9.49E-07	2.83E-04
ubiquitin-dependent protein catabolic process (GO:0006511)	545	4	22.33	-	.18	5.87E-06	1.50E-03
RNA splicing (GO:0008380)	409	3	16.76	-	.18	9.85E-05	1.43E-02
modification-dependent protein catabolic process (GO:0019941)	552	4	22.62	-	.18	4.06E-06	1.05E-03
modification-dependent macromolecule catabolic process (GO:0043632)	563	4	23.07	-	.17	2.87E-06	7.82E-04
protein ubiquitination (GO:0016567)	746	5	30.57	-	.16	2.82E-08	1.21E-05
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	4	24.96	-	.16	7.41E-07	2.39E-04
ribonucleoprotein complex biogenesis (GO:0022613)	462	3	18.93	-	.16	1.72E-05	3.83E-03
ribosome biogenesis (GO:0042254)	329	2	13.48	-	.15	2.96E-04	3.14E-02
translation (GO:0006412)	387	2	15.86	-	.13	3.42E-05	6.44E-03
regulation of chromosome organization (GO:0033044)	290	1	11.88	-	.08	1.94E-04	2.40E-02
mRNA splicing, via spliceosome (GO:0000398)	303	1	12.42	-	.08	1.38E-04	1.90E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	1	12.42	-	.08	1.38E-04	1.88E-02
RNA splicing, via transesterification reactions (GO:0000375)	306	1	12.54	-	.08	9.07E-05	1.34E-02
protein polyubiquitination (GO:0000209)	325	1	13.32	-	.08	6.76E-05	1.09E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	1	13.85	-	.07	2.95E-05	5.69E-03
proteasomal protein catabolic process (GO:0010498)	361	1	14.79	-	.07	1.42E-05	3.31E-03
DNA replication (GO:0006260)	273	0	11.19	-	 < 0.01	2.76E-05	5.38E-03
regulation of protein ubiquitination (GO:0031396)	213	0	8.73	-	 < 0.01	2.94E-04	3.14E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	0	10.04	-	 < 0.01	9.06E-05	1.35E-02
